English	Infinitive	Present continuous	1st person past
to turn	brrm	tbrram	brrmġ
to turn	dur	tdwwar	dwwrġ
to turn around	ml'lly	tml'llay	ml'lliġ
to turn down (volume)	naqs	tnaqas	naqsġ
to turn off	sxsi	sxsay	sxsiġ
to turn on	šعl	šعal	šعlġ
to turn on	ssiġ	ssiġi	ssaġ'ġ
to turn over	nqlb	tnqlab	nqlbġ
to turn something over	snqlb	snqlab	snqlbġ
to twist	smunď	smunuď	smunďġ
to type	ara	tara	araġ
to understand	fhm	tfham	fhmġ
to unfold	ġrd	qqrd	ġrdġ
to unlock	rzm	rzzm	rzmġ
to unpack	xwu	xwwu	xwiġ
to untie	rzm	rzzm	rzmġ
to upset (somone)	sqllq	sqllaq	sqllqġ
to urinate	bzd	bzzd	bzdġ
to urinate	g (conjugate) abzzid	tgga abzzid	giġ abzzid
to urinate	g (conjugate) aman	tgga aman	giġ aman
to use	stعml	stعmal	stعmlġ
to use	sxdm	sxdam	sxdmġ
"to use incense to makesmoke"	bxxr	tbxxar	bxxrġ
to use up	smur	smur	smarġ
to vaccinate	g (conj) tissmi	tgga tissmi	giġ tissmi
to vaccinate	jlb	tjlab	jlbġ
to vaccinate	wzi	wzzi	wziġ
to visit	k	akka	kiġ
to visit (saint)	zur	tzur	zurġ
to vomit	rar	trara	ruriġ
to vomit	shušr	shušur	shušrġ
to vote	şwwt	tşwwat	şwwtġ
to wait	ggan	tggana	gguniġ
to wait	qql	tqql	qqlġ
to wait	şbr	tşbar	şbrġ
to wait	ššur	tššur	ššurġ
to wake someone	snkr	snkar	snkrġ
to wake up	nkr	nkkr	nkrġ
to wake up (open eyes)	fafa	tfafa	fafaġ
to walk	nzuġ	nzzġ	nzġ'ġ
to walk (go)	ddu	tddu	ddiġ
to walk around	ďur	tďur	ďurġ
to want	iri	tiri (to love or like)	riġ
to warm	ssrġ	ssrġa	ssrġiġ
to warm something	sHmu	sHmu	sHmiġ
to warn	.عlm	tعlam	.عlmġ
to wash	şbbn	tşbban	şbbnġ
to wash	sird	sirid	sirdġ
to waste	sxsr	sxsar	sxsrġ
to watch	frrj	tfrraj	frrjġ
to watch	mmatr	tmatar	mmutrġ
to water	ssu	ssa	sswiġ
to water (something)	ssuw	sswa	swiġ
to wave	šyyr	tšyyar	šyyrġ
to wear	ls	lssa	lsiġ
to weave	gr asţţa	ggar asţţa	griġ asţţa
to weave	zď	zďďa	zďiġ
to weep	al	alla	ulliġ
to weigh	.عbr	tعbar	.عbrġ
to weigh	wzn	twzan	wznġ
to welcome	rHHb	trHHab	rHHbġ
to welcome	rHHb s	trHHab s	rHHbġ s
to wheeze	sHirri	sHirri	sHirriġ
to whisper	sHissi	sHissi	sHissiġ
to whistle	şffr	tşffar	şffrġ
to whistle	sinşg	sinşig	sinşgġ
to widen	ssusع	ssusaع	ssusعġ
to win	rbH	trbaH	rbHġ
to wink	ġmz	tġmaz	ġmzġ
to wink	qqn (conj) tiţ	tqqn tiţ	qqnġ tiţ
to wipe	sfď	sffď	sfďġ
to wipe dry	zwu	zggu	zwiġ
to wipe off	sfď	sffď	sfďġ
to wish	tmnna	tmnna	tmnnaġ
to wither	sllaw	tslliw	sllawġ
to witness	šhd	tšhad	šhdġ
to wonder at	rعb	trعab	rعbġ
to work	xdm	xddm	xdmġ
to work hard (v)	jrrd	tjrrad	jrdġ
to worry	qllq	tqllaq	qllqġ
to worship	.عbd	tعbad	.عbdġ
to wound	jrH	jrrH	jrHġ
to wrap	duar	tduwar	duarġ
to write	ara	tara	araġ
to write	ktb	tktab	ktbġ
to write	uru	turu	aruġ
to write (a note)	m'rka	tmarka	mrkġ
to write (official documents)	zm'm	tzm'mam	zm'mġ
to write down (legal)	qiyd	tqiyad	qiydġ
to yawn	fa	tfa	faġ
to yawn	fa	tfa	faġ
to yell	sġuy	sġuyyu	sġuyġ
