"EN_source"	"ZGH_target"
"rolling pin"	"ddllak"
"roof"	"siduH; taduli"
"roof is leaking"	"tlla tmqqit"
"roofing (n)"	"tamssalt"
"room"	"aHanu; lbit; tahanut"
"room (salon)"	"tansrit"
"room, living"	"tamşriyt"
"rooster"	"afulus"
"root"	"azġur"
"roots"	"izġuran; izuran"
"rope"	"izikr; ššrit"
"rose (flower)"	"lurd"
"rose (flower)"	"lward"
"rosemary"	"asir"
"rotten (n)"	"axmmuj"
"round"	"amduwr"
"rug, wool"	"ahadun; iHnbl"
"running"	"tazla"
"rust"	"şda; taniyt"
"sack"	"lxnšt"
"sacrificial animal"	"tafaska"
"saddle"	"tariyt"
"saddle blanket"	"taġrart"
"saddle, camels"	"tariyt n ulġum"
"saddle, mules"	"tabarda n usardun"
"safety pin"	"aġnas; lfilil"
"saffron"	"zzعfran"
"salad"	"šlata"
"salary"	"šhriya"
"salt"	"tisnt"
"sand (n)"	"iyidu; rmla"
"sand dunes"	"tiwririn n rmla"
"sandals"	"idukan; idušan"
"sandals, woven"	"arqsn"
"sandman visit (stuff in eye in morning)"	"tarta"
"sandwich"	"kaskrot"
"sanitation"	"aţunsu; nadafa"
"satellite*"	"lqamar lisţinaعi"
"Saturday"	"sbit"
"sauce"	"duaz; imarġan"
"saucepan"	"lgamila"
"saw"	"lmnšar"
"sawdust"	"alabba n lmnšar"
"scab"	"aعttib"
"scale"	"lmizan; lعbar"
"scale, pull"	"tušt"
"scar"	"azmud; azmul; uqlib"
"scarf"	"arkuš; lfurar; tasbniyt; zzif"
"scarf clip"	"tasġunst"
"scarves"	"lazyaf"
"schedule (program)"	"lbrnamj"
"school"	"likul; mdrassa"
"school vacation"	"lعuţla"
"school, koranic"	"jjamع"
"science"	"lعulum"
"scissors"	"lmqşş; tuzlin"
"scooter"	"lmutur"
"scorpion"	"tiġirdmt; tiraġdmt"
"scratch"	"axbbuš"
"screen (in widow)"	"šbbik"
"screen (t.v., computer, etc.)"	"š-šaša"
"screwdriver"	"turnvis"
"scrub-brush"	"ifsi"
"scythe"	"amgur; amwur; tamgurt"
"sea"	"lbHar; lbHr"
"seam"	"tigni"
"seat"	"lblast"
"seats"	"lblays"
"secretary"	"lkatib/lkatiba; ssikritira"
"seed"	"aHabub"
"seeds"	"amud; iHbubn; ifsan; zzriعt"
"self"	"iwatu*"
"selfish (adj)*"	"anani"
"semen"	"lmani"
"sentence (grammar)*"	"ljumla"
"sentence (legal)*"	"lHukm"
"September"	"štanbir; šar tsعa"
"sequins"	"muzun"
"sewing (n)"	"tigni; tijni"
"sexual harrassment*"	"ttaHrruš ljinsi"
"shade"	"amalu"
"shadow"	"amalu"
"shadows"	"imula; tassaywlt"
"shame"	"Hšuma"
"shampoo"	"šanpwan"
"share (n)"	"amur"
"shawl clip"	"tasġunst"
"she"	"nttat"
"sheep"	"aHuli; anuguď; ulli"
"sheep and goats"	"lmal"
"sheep, barbary"	"udadn"
"sheepskin (as a rug)"	"ahiţur"
"sheepskin (to sit/pray on)"	"ahidur; tahidurt"
"sheepskin (uncut)"	"abďďan"
"sheet"	"lizar"
"sheet metal"	"aqazdir"
"shelf"	"rrf"
"shelves"	"isyaln; rrfuf"
"shephard"	"amksa"
"shepherds"	"imksawn"
"shin"	"anzlum"
"ship"	"babur"
"ship"	"baţu"
"shirt, dress"	"lqamija"
"shoes"	"idukan; şşbbaţ; tikurbyin"
"shop"	"taHanut"
"shop keeper"	"butaHanut/m_mtHanut"
"shopping*"	"lmqďiyt"
"short"	"igzul"
"shot (of medicine)"	"agzay; awzay; ; tismi"
"shots (of medicine)"	"tismawin"
"should"	"xssa"
"shoulder"	"iġir"
"shoulders"	"iġariwn; tiġurdin"
"shovel"	"lbala; lbara"
"shroud, funeral"	"lkfn"
"shrub"	"ifssi"
"siblings"	"tarriwin"
"sickle"	"imjr n uzaġar"
"sickness"	"iġ n šra"
"sickness"	"tamaďunt; lmrď**"
"side"	"tasga"
"side, other (of river, road)"	"agummat"
"sieve"	"bu syyar; tallunt; ; tšţţuţ"
"sifter"	"bu syyar"
"sigh"	"tixt"
"silk"	"lHrir"
"silver"	"nqurd; nqurt"
"similar (to)"	"zun (d)"
"similar to"	"am"
"sin"	"ddnb"
"since"	"lig; sg"
"sincerely"	"s nniyt"
"singer"	"afrraH; amdiaz"
"singer*"	"lmuġnni"
"sink"	"lavabu; ššarij n irukutn"
"sip (n)"	"tagumimt"
"sir"	"sidi"
"sister (my)"	"utma"
"sister-in-law"	"tamţut n igma^"
"sisters"	"istmatn; tawmatin"
"sisters (my)"	"istma"
"situation"	"lHal"
"size"	"nmra; tai"
"skewer (n)"	"sfud"
"skewers"	"id sfud; lasfiwad"
"skin"	"abttan; ilm; tifršit"
"skin spots, circular, dry, usually on face"	"tafuri"
"skin, animal"	"avdan"
"skin, for making bread"	"almsir"
"skirt"	"şşaya"
"sky"	"ignna; ijnna"
"sky blue"	"ašibi"
"skylight"	"araġ"
"skylight*"	"dduwaya"
"slave"	"ismx; lعabd"
"sledge hammer"	"lmassa"
"sleep"	"iţs; taguni"
"sleep, pretend"	"taguni n ušn; taguni n عnwa"
"slingshot"	"jjbbad; lkari"
"slippers"	"ikurvin"
"slowly"	"s lHil; s ttawil; s_lHil"
"small"	"amskan; amzzan"
"small business development"	"tanmiya n lmuqawalat timzzanin"
"small piece of glass"	"tajjajt"
"smell"	"adu"
"smoke (n)"	"aggu"
"smuggler"	"bu trabandu"
"smuggling"	"trabandu"
"snail"	"ašbuġlal"
"snake"	"ifiġr; tifiġra"
"sneakers"	"sbrdilat; şşbbaţ"
"sneeze (n)"	"tinzi; tinzay"
"snore (n)"	"ixurran"
"snot"	"axansir"
"snow"	"adfl; atfl"
"so (therefore)"	"uxla"
"so that (purpose)"	"mrad"
"soap"	"şşabun"
"soccer"	"lkura; takurt"
"sock"	"tarġiwin"
"socket, electrical"	"priz"
"socks"	"tqašr"
"soda"	"lmunada"
"sofa"	"lpanj"
"solar panel"	"taqa šmsia"
"soldier"	"amxzni; aعskri"
"solution"	"lHl"
"some"	"kan"
"someone"	"kan yan"
"someone (unspecified)"	"flan"
"something"	"ša n lHajt"
"something good"	"lmşlaHa"
"something is wrong"	"yaġi kra"
"something that hurts (on body)"	"abray; avray"
"sometimes"	"kan lmrrat"
"sometimes"	"kantikal; mrra mrra"
"somewhere"	"kan udġar"
"son (my)"	"arba inu; mimmi; yiwi"
"song"	"izli; lmsaq; taHidust; luġniya"
"songs"	"izlan"
"son-in-law"	"adgwal"
"soot"	"akffus; ašffus"
"sore throat"	"tizlmaz"
"sorry"	"samHi"
"souk tent"	"agitun"
"soul"	"rruH"
"sound"	"awal"
"sound (in general)"	"lHss"
"sound (related to vehicles)"	"lHaz"
"soup"	"askif; taHrirt"
"sour (n)"	"tasmmi"
"south"	"ljanub"
"South America"	"amerika janubia"
"souvenir"	"dikra"
"spare (n) (i.e. tire)"	"sikur"
"spark (n)"	"aşft"
"sparks"	"işftawn"
"special*"	"xass"
"spectators*"	"lmutafrrijin"
"speech"	"awal"
"spices"	"isafarn; isufir; lعţriya; lعtrria"
"spider"	"tabaxa; takalt"
"spider, daddy long legs"	"abaxa"
"spine"	"buzruru"
"splint (n)"	"tajbirt"
"splinter"	"tilfxt"
"splinters"	"tilfax"
"sponge, soft"	"punj"
"spool (for wool)"	"izdy"
"spoon"	"taġnjawt"
"sports"	"rryaďa"
"spring (season)"	"rrbi;ع talddrar"
"spring, natural"	"aġbalu; taġbalut; lعin**"
"square (geometry)"	"murabbaع"
"squash"	"taġsayt"
"squash, softball size (not for consumption)"	"tafrzist"
"squeegee"	"lkrraţa; tajffaft"
"squirrel"	"aybur"
"stack"	"imriry"
"stainless steel"	"inox"
"stairs"	"ddruj; lmjarib; ssllum"
"stake, metal (for fastening animals)"	"tagust"
"stamp (for mail)"	"tambr"
"stamp (official)"	"lkaši; ţţib;ع kašni"
"stand for churn"	"tisnda"
"star"	"ithri"
"star"	"itri"
"star (five pointed)"	"şurţ"
"stars"	"ithrn; itran"
"start of motor (n)"	"amarš"
"station, television"	"maHţa"
"steam"	"arag"
"steam (pl)"	"irugga"
"steel"	"lhnt"
"steel wool"	"jiks"
"stench (n)"	"rriHt"
"steps, on stairs"	"ddrjat"
"stick"	"taġruyt"
"stick (esp. for beating)"	"taġruyt"
"stick (for beating)"	"amعrad"
"stick, for coals"	"ašnqs n wafa"
"stick, wooden"	"taġrušt; taġruyt"
"sticky (adj)"	"sslġ (conj in present)"
"stock market"	"lburşa"
"stomach"	"abuď; adis"
"stomach (organ)"	"axdil; lmعda"
"stomach, roll of animal organs"	"tikurdasin"
"stomach, swollen"	"ibzg udis"
"stone"	"azru"
"stone mill"	"azrg"
"stones (in river, used as path)"	"işnţiw"
"store"	"taHanut"
"stories"	"lqişşat"
"stork"	".عliuswu"
"storm*"	"lعsifa; tignut"
"story"	"lqişt"
"stove"	"lfurnu"
"stove, traditional, made from mud"	"tanurt"
"straight"	"nišan; tanumi"
"strainer"	"tastit; şffaya**"
"strap (for purse, knife)"	"azrz"
"straw"	"alim"
"strawberry"	"lfriz; ttut**"
"street"	"abrid; šanti"
"string"	"ifilu"
"string (for loom)"	"asţa"
"strings"	"ifilan"
"stripe*"	"lxţţ"
"stripes"	"izriran"
"stripes*"	"lxţuţ"
"student"	"ţalib(a)"
"studies (n)"	"tiġri"
"subject"	"lmuďuع"
"suede"	"ddan"
"sugar"	"sskkar"
"sugar container"	"tarbiعt"
"sugar, granulated"	"ssanida"
"suggestions"	"id rray"
"suitcase"	"lbaliza; lvaliza"
"summer"	"şşif"
"summons"	"listidعa"
"sun"	"tafukt; tafušt; tafuyt"
"sunburn"	"tafuri"
"Sunday"	"lHd"
"sunrise"	"anqar n tafuyt"
"sunset"	"aġlay n tafuyt"
"supplies"	"ladawat n"
"suppository"	"lqwilbat"
"surgery"	"lftiH; lعamaliya"
"sustainability*"	"listimrariya"
"swearing (n)"	"tagalit"
"sweat"	"lعrg; tidi"
"sweater"	"triku"
"sweets"	"lHlwa"
"swelling"	"abzzug"
"syringe"	"lasurang; tasarut"
"table"	"lmida; tabla"
"tail"	"addil; taddilt; agujim; tawjimt; abrdud"
"tajine dish"	"tatajint"
"tall"	"aġzzaf"
"tall (n)"	"taġzi"
"talons"	"axbašn"
"tape"	"skotš"
"tape recorder"	"lamušajlla"
"tasks"	"šġul"
"taste (n)"	"amţay"
"tattoo"	"tagzayt; tawzayt"
"tattoos"	"aHadjam; iHadjamn"
"tax"	"dariba"
"tea"	"ataj; atay"
"tea crate"	"tassnduqt"
"tea tin"	"tazznbilt"
"tea tray"	"ssinia; şşinit"
"teacher"	"lmuعlim/talmuعlimt; ustad/ustada"
"teaching (n)"	"ttعlim"
"teapot"	"lbrrad"
"tears"	"imttawn"
"technical assistance"	"ttaعawun ttiqni"
"teeth"	"tuġmas; tuxmas; tuxsin; uxsan"
"television"	"tlfaza"
"temperature"	"lHarara"
"temples (side of head)"	"ifşlan; nwadr"
"ten minutes"	"qşmayn"
"tennis shoes"	"sbrdilat"
"tent"	"agitun; taxamt; axam"
"terrorism"	"irhab"
"terrorist"	"irhabi"
"testimony"	"ššahada"
"than (comparative)"	"zi ġif"
"thank God"	"lHamdullah"
"thank you"	"saHa"
"that"	"allig; -in; -nna; alliy"
"that (demonstrative)"	"-naġ; -in"
"that (indirect speech)"	"nwis"
"that (relative)"	"na"
"that (relative, not recent)"	"liġ"
"that (relative, recent)"	"daġ"
"that (thing)"	"ayin; aynnaġ"
"that's all"	"aynaġ"
"thats the way!"	"imšinaġ"
"thats why..."	"aynaġ as"
"the same as"	"anšt*"
"theater"	"lmsraH"
"theft"	"tukrďa"
"theif"	"imikr"
"their (F)"	"-nsnt"
"their (M)"	"-nsn"
"theirs (F)"	"win-nsnt/tin-nsnt"
"theirs (M)"	"win-nsn/tin-nsn"
"them (F)"	"nitnti"
"them (F) (direct obj. pronoun)"	"-tnt"
"them (F) (indirect obj. pronoun)"	"-asnt"
"them (M)"	"nitni"
"them (M) (direct obj. pronoun)"	"-tn"
"them (M) (indirect obj. pronoun)"	"-asn"
"then (emphatic)"	"bعda"
"then (sequential)"	"aywa"
"then (sequential)"	"ukan"
"there"	"din; dinaġ; yurin"
"there (where the 'hearer' is)"	"dinnaġ"
"therefore"	"aha uxla; aywa"
"thermometer"	"lmizan n lHrara"
"these"	"-tx"
"they (F)"	"nitnti"
"they (M)"	"nitni"
"they dont trust each other"	"urtlli tika grat_sn"
"thing"	"taġawsa"
"thing with string&chalk, used for making straight lines"	"lkurdiks"
"things"	"lHwayj; tiġawsiwin"
"things are good (colloquial)"	"iHla wawal"
"thirst (n)"	"fad"
"this"	"-a; aya; aydġ; -dx; -tx; wa/ta; watx"
"this (demonstrative)"	"-a; -tx"
"this (thing)"	"aytx; aya"
"thorn"	"asnan; axlal"
"thorns"	"ixlaln"
"those"	"-in; -nna"
"thought"	"lfikra; lfikrat"
"thread"	"idd'd; ifili; ifilu"
"thread, wool"	"tilmi"
"threshing (n)"	"arwa"
"threshing area"	"arnar; štata"
"throat"	"amgrt; aqrjud"
"thumbtack"	"piniz"
"thunder"	"aggj; tignut; tijnut"
"thunder (pl)"	"tigniw"
"thunderstorm"	"tignut"
"Thursday"	"lxmis"
"tibea"	"aġanim n udar"
"ticket"	"tawriqt"
"tickle (n)"	"tiglgat; tiklkad"
"tiger"	"aġilas"
"tilling (n)"	"lqliv"
"time"	"lHal"
"time (hour)"	"luqt; tassaعt"
"time (instance)"	"ddur; tiklt"
"time when"	"lig"
"times (instances)"	"ladwar; tikal"
"times (multiplied by) (math)"	"fi; madruba"
"tin box"	"tarrbiعt"
"tinea (loss of hair due to dirtiness)"	"amjut"
"tire"	"lpnu; rrwiďa"
"tire tube"	"šambrir"
"tires"	"arwayd"
"tires"	"lpnuat"
"tissues"	"kliniks"
"title"	"lعunwan"
"to"	"I; s; ġr"
"to absorb"	"su"
"to accept"	"qbl"
"to accept"	"qvl"
"to accompany"	"mun* d"
"to accuse"	"gr lbaţl xf"
"to accustom"	"walf"
"to ache, something"	"nġ"
"to acknowledge"	".عtarf"
"to adapt"	"walf"
"to add"	"zayd"
"to adopt"	"rbba"
"to advance"	"zwur"
"to advise"	"nşH"
"to age"	"wsir"
"to agree"	"qbl; tafq"
"to aid"	".عawn"
"to allow"	"adj"
"to amuse"	"sţs"
"to annoy"	"brzt; sdd;ع šwwš"
"to answer"	"jawb; wajb"
"to applaud"	"ďhr; şffq; ut rršš; wt abqqa"
"to apply for"	"ttr"
"to approve"	"qbl"
"to argue"	"zi"
"to arrange a marriage"	"stahl"
"to arrest"	"amz; ţţf"
"to arrive"	"awď; gulu"
"to ascend"	"ali"
"to ask"	"sqsa"
"to ask (in marriage)"	"ttr"
"to assemble (parts)"	"smun"
"to assist somone giving birth"	"ssirw"
"to associate with"	"ssur"
"to attack"	"tعdda xf"
"to attempt"	"arm"
"to attend"	"Hiďr"
"to auction"	"dll'l"
"to avoid"	".عrq; k ţţrf"
"to bake"	"ssnu"
"to bargain"	"šţţr"
"to bark"	"aġ; shub"
"to bathe"	".عum; ssird"
"to be (description)"	"g"
"to be (in a location)"	"ili"
"to be a lot"	".عtu"
"to be able"	"iġiy"
"to be abundant"	"xyyr"
"to be afraid"	"ggd"
"to be aglow"	"aġ"
"to be alive"	".عiš; ddr"
"to be angry"	"qllq; zعf**"
"to be anxious"	"Hyyr"
"to be ashamed"	"Haššm"
"to be bad"	"xxu"
"to be beautiful"	"Hlu; ţrrf"
"to be bent"	"šnu"
"to be big"	"xitr"
"to be bitter"	"Hrru; rzag"
"to be bland"	"msis"
"to be boiled"	"blbţ; nu; rkm"
"to be born"	"lal"
"to be brave"	".عzzu; zعm"
"to be bright"	"ssidd"
"to be broken"	"rz"
"to be burned"	"ġus; kumt"
"to be burnt"	"kmď"
"to be busy"	"ur sala (conj)"
"to be calm"	"hddn"
"to be careful"	"Hďu (ixf*); rar lbal"
"to be cheap"	"rxs"
"to be clean"	"nqu"
"to be clear (water)"	"zdig"
"to be clear*"	"bayn"
"to be close"	"nmili; qrrb"
"to be cloudy (water)"	"rkiz"
"to be cold"	"krm; qrf"
"to be comfortable (emotionally)"	"zعm ġif"
"to be comfortable (physically)"	"rtaH"
"to be comfortable (things)"	"lwiġ"
"to be confident"	"zعm"
"to be confused"	"tlf; Htar**"
"to be constipated"	"iqur udis"
"to be contagious"	"slġ"
"to be cooked"	"nw"
"to be correct"	"yusad"
"to be crazy"	"hbl; mmiعdr"
"to be crippled"	"kkušm"
"to be crooked"	".عwwj"
"to be crowded"	".عmmr"
"to be cured"	"jji"
"to be curvy"	"frġ; tisďrin"
"to be dangerous"	"g (conj) l-xatar"
"to be dark"	"ilis"
"to be dead"	"mmt"
"to be deaf"	"ddurdr"
"to be deep"	"zdr"
"to be dehydrated"	"šHf"
"to be delayed"	".عţţr"
"to be depleted"	"smur"
"to be different"	"xtalf"
"to be difficult"	"šqu; wعr"
"to be dirty"	"jlx; wssx"
"to be distant"	".عrq; bعd"
"to be dizzy"	"dwx; mlili"
"to be drunk"	"skr"
"to be dry (i.e. bread)"	"qar"
"to be easy"	"rxu"
"to be embarrassed"	"Hššm"
"to be engaged"	"xtb"
"to be enthusiastic"	"tHmms"
"to be epileptic"	"ut (reflexive) ljnun"
"to be epileptic"	"ut (reflexive) uquryan"
"to be examined"	"zzri"
"to be excited"	"frH"
"to be expensive"	"ġlu"
"to be extraordinary"	"g (conj) lعjb"
"to be far away"	".عrq; bعd"
"to be fast"	"srbi; zrb"
"to be fat"	"qwa; zur"
"to be fat (people)"	"şHu"
"to be fermented"	"xmr"
"to be finished"	"kml"
"to be flooded"	"nji"
"to be free (time)"	"sala"
"to be frozen"	"jmmd"
"to be full"	".عmr"
"to be full (of food)"	"djun; šbع"
"to be generous"	"Hzzm"
"to be good"	"Hlu; ziyl"
"to be greedy"	"illa dig (conj) jju;ع juع"
"to be gross"	"xxu"
"to be ground (i.e. spices)"	"zď"
"to be happy"	"frH"
"to be hard"	"qqar; šqu"
"to be healed"	"jji"
"to be healthy"	"şHu"
"to be heavy"	"iziy; stul"
"to be hit in the head with a stone"	"mrz"
"to be hot"	"Hmu; rġ"
"to be hungry"	"nġ (reflexive)  laz; dig (reflexive) laz"
"to be hurt badly"	".عrrm"
"to be ill"	"mrď"
"to be immature"	"fsis; imzi* lعql"
"to be in a hurry"	"Harš; zrb"
"to be in charge"	"qabl"
"to be in peace"	"hnna"
"to be intelligent"	"šwu"
"to be interested"	"ihmma"
"to be interesting"	"hmma"
"to be involved"	"umu"
"to be itchy"	"tš (conj. as reflexive v)"
"to be jocular"	"ršq"
"to be large"	"usع"
"to be late"	".عţţr"
"to be leaning"	"myyl"
"to be left over"	"šayď"
"to be light (not heavy)"	"fsis"
"to be lonely"	"qnţ"
"to be long"	"ġzif; xitr"
"to be long (time, distance)"	"wahli"
"to be loose"	"narzm"
"to be lost"	"ašk; tl'f; zl"
"to be lost in thought"	"xmm"
"to be loud"	"suqr"
"to be lucky"	"ġur (conj) zzhr"
"to be mad"	"qllq; zعf**"
"to be married"	"awl; tahl"
"to be melted (adj)"	"fsi"
"to be messy"	"xwwď"
"to be mixed"	"xllţ"
"to be muddy"	"rkiz"
"to be narrow"	"qmr"
"to be naughty"	"qjar"
"to be nauseous"	"aġ (conj) tmlilay"
"to be near"	"nmili; qrrb"
"to be next to"	"wala"
"to be nice"	"Hlu"
"to be obvious*"	"bayn"
"to be old"	"xitr"
"to be older than"	"agur"
"to be outgoing"	"zعm"
"to be overripe"	"bbrţuţţy; lbibţ"
"to be pale"	"wriġ; zrf"
"to be part of"	"umu"
"to be patient"	"şbr"
"to be pleasing to"	".عjb"
"to be poor"	"dعf; Htadja; g (conj) lmskin/igllin"
"to be possible"	"ml"
"to be pregnant"	"aru (conj in present tense)"
"to be prepared (adj)"	"wjd"
"to be pretty"	"Hlu"
"to be quiet"	"fst"
"to be ready"	"ujd"
"to be ready for something"	".عawwl ġif"
"to be religious"	"g adyyani"
"to be rich"	"rbH"
"to be right"	"ġzin"
"to be ripe"	"nu"
"to be rotten"	"ixomj"
"to be round"	"dwr"
"to be rubbed raw"	"nj""m"
"to be scarce"	"drus"
"to be scared"	"ggud; xlع"
"to be selfish"	"g (conj) anani"
"to be separate"	"sti"
"to be separated from"	"mzaray d"
"to be sharp"	"šwu"
"to be shiny"	"şfu"
"to be short"	"yzil"
"to be shy"	"Hššm"
"to be sick"	"inġa* kra; mrď"
"to be sifted"	"afuf"
"to be silent"	"fst"
"to be slippery"	"iššď"
"to be small"	"mziy"
"to be small (in number)"	"drus"
"to be smart"	"šwu"
"to be soft"	"lwiġ"
"to be sour"	"smim"
"to be spicy"	"Hrru"
"to be squished"	"snyumu"
"to be stale"	"qqar"
"to be still"	"wr"
"to be straight"	"nm"
"to be strong"	"şHu"
"to be surprised"	"rعb"
"to be swollen"	"bzi"
"to be tall"	"ġzif"
"to be tangled"	"mmarks"
"to be tense (muscles)"	"qqrş"
"to be thick"	"zur"
"to be thin (objects)"	"sdid"
"to be thin (people)"	"ďعf"
"to be thirsty"	"dig* fad; inġa* fad"
"to be tight"	"nyumu"
"to be tired"	"rmi; uHl"
"to be ugly"	"xxu"
"to be unable"	"rmi"
"to be unhappy"	"qnď"
"to be upset"	"qllq"
"to be used to"	"walf"
"to be useful"	"nfع"
"to be useful"	"slaH"
"to be vacant (adj)"	"ar"
"to be vast"	"usع"
"to be warm"	"ruġ"
"to be weak"	"dعf"
"to be wet"	"mmġ"
"to be white"	"mlil"
"to be wide"	"usع"
"to be worried"	"qllq"
"to be worth"	"su"
"to be/make conditional upon"	"šrţ"
"to bear"	"tHmml"
"to beat"	"dz; kkum; ut"
"to beat (win)"	"rnu"
"to beat up"	"nnaġ"
"to become acquainted"	"myassan"
"to become used to"	"walf"
"to befriend"	"myassan"
"to beg"	"ttr"
"to begin"	"bdu"
"to belch"	"grع"
"to believe"	"amn"
"to bend (oneself)"	"knu"
"to bend (something)"	"sknu"
"to benefit from"	"snf;ع stafd**"
"to betray"	"ġďr"
"to bite"	"qjj; qrš"
"to bite (insects)"	"qqs"
"to blame*"	"lum"
"to bleat (i.e. sheep)"	"sbiع"
"to blink"	"smnġr"
"to bloom"	"şţġ"
"to blow on a fire"	"şud"
"to blow ones nose"	"nsr"
"to blow up (explode)"	"sţġ"
"to blow up (fill with air)"	"suf"
"to boil"	"sblbţ; ssrkm"
"to bomb"	"şţġ"
"to bomb"	"şţiqs"
"to borrow"	"rďl"
"to bother"	"brzd; sddع"
"to bow"	"Hudr"
"to brag"	"dig* sHam"
"to break"	"rz"
"to break down (vehicles, machinary)"	"xsr"
"to breastfeed"	"ssuţţ't; ţţd; rďď**ع"
"to breathe"	"sunfs"
"to bribe"	"fk (conj) r-ršwa"
"to bring"	"awi"
"to brush"	"krď"
"to brush (hair)"	"mšţ"
"to build"	"bnu"
"to burn"	"sġus; skmď"
"to burp"	"ut (conj) agrriع"
"to burst"	"sţġ"
"to bury"	"adr"
"to buy"	"sġ"
"to call"	"ġr"
"to call (on the phone)"	"sawl; g ttilifun"
"to calm"	"sfst"
"to capture"	"amz"
"to care (usually used in negative)"	"kkul"
"to carry"	"asi"
"to cash"	"srrf"
"to catch"	"amz"
"to catch up to"	"ssikl"
"to cause"	"sbb'b"
"to cause something not to work"	"sxsr"
"to cauterize"	"qqd"
"to celebrate"	"g lfrH; Htafl"
"to change"	"bddl"
"to change (clothes)"	"xllf"
"to change (money)"	"şrrf"
"to charge"	"šarji"
"to cheat"	"ġušu"
"to chew"	"fz;"
"to choke"	"Hnq"
"to choose"	"sti; xtar"
"to churn (milk)"	"sndu"
"to clean"	"ssird"
"to clean (with soap, water, squeegee)"	"siaq"
"to climb"	"ali"
"to climb down"	"ggz"
"to close"	"qqn"
"to collapse (people)"	"sxf"
"to collect"	"jjmع"
"to collect water"	"agm"
"to collect wood"	"zdm"
"to collide"	"mlqay"
"to color"	"lwwn"
"to comb (hair)"	"krď"
"to comb (wool)"	"mšt"
"to come back"	"uġuld"
"to come in"	"kšm"
"to command"	"amr"
"to compete"	"nafs; mjahad"
"to complain"	"smumi; štka; štša"
"to complete"	"kmml"
"to confuse"	"xrbq"
"to consume"	"sthlk"
"to convert"	"kujm"
"to convince"	"qnع"
"to convulse"	"rjij; ryij"
"to cook"	"snu; ssmr"
"to copy"	"nql"
"to cough"	"skuHu; usu"
"to cough phlegm"	"sxixi"
"to count"	"Hasb; zmm'm"
"to cover"	"dl"
"to cover (a dead body)"	"adr i"
"to covet"	"ţmع"
"to crack"	"sţġ"
"to crash"	"ġrf"
"to crawl (babies)"	"Hbu; Hrurd"
"to crow"	"skuعu"
"to crunch"	"ġzz'z; qjj"
"to crush"	"snġd"
"to cry"	"al"
"to cultivate"	"krz"
"to cure"	"juji"
"to cut"	"bbi; ks"
"to cut (grass)"	"Hšš"
"to cut (hair)"	"Hssn; kks (azar)"
"to cut (skin)"	"jrH"
"to damage"	"sxsr"
"to dampen"	"ssumġ"
"to dance"	"štH"
"to deafen"	"sďurďr"
"to decide"	"nwwa; qrr'r"
"to decline"	"ggz"
"to decrease"	"dris; naqs; nqş"
"to dedicate"	"hdu"
"to defeat"	"rnu"
"to defend"	"dafع"
"to deficate"	"mmas; g (conj) brra; g (conj) ixan"
"to delay"	"sعţţr"
"to delete"	"msH"
"to descend"	"ggz; guz; ujju"
"to deserve"	"stahl"
"to desire"	"iri"
"to destroy"	"xlu"
"to develop (film)"	"ssufġ"
"to dial"	"rkkb"
"to die"	"mmt"
"to dig"	"ġuz; ġz"
"to diminish"	"dris"
"to disappear"	"ašk; ġbr; ġyyb"
"to disappear (behind something)"	"ġġli"
"to discover"	"af"
"to discuss"	"naqš"
"to dislike"	"ur Hmil (conj)"
"to dismantle"	"smun"
"to dismount"	"ggz"
"to disobey"	".عşu"
"to dissolve"	"sfsi"
"to distribute"	"bďu"
"to disturb"	"brzd; sxub aďu"
"to divide"	"bďu"
"to divide a slaughtered animal"	"uzzع"
"to divorce"	"rzm; zdu"
"to do"	"g; sskr; šġal"
"to do something imperfectly due to lack of materials"	"sllk"
"to drain (empty)"	"xwu"
"to draw"	"rsm"
"to draw blood"	"ks idamn"
"to draw water"	"agm"
"to dream"	"warg"
"to dress"	"ls"
"to drink"	"su"
"to drip"	"smiqqi"
"to drive"	"Hri; şug"
"to drive crazy"	"smiعďr"
"to drop"	"şďr"
"to drown"	"ġrq"
"to dry"	"qqar; zwu"
"to duck"	"Hdr"
"to dust"	"şlH"
"to dye"	"ġm"
"to eat"	"tš; awġ"
"to eat breakfast"	"fďr; fţr"
"to eat dinner"	"mnsu"
"to eat something ground"	"slm"
"to ejaculate"	"ţlq"
"to elect"	"ntaxb"
"to embarrass"	"sHšm"
"to embrace Islam"	"slm"
"to embroider"	"nqš"
"to empty"	"xwu"
"to end"	"fukku"
"to endure"	"şbr"
"to enjoy"	"brrع"
"to enlarge"	"swsع"
"to enlighten"	"ssid"
"to enroll"	"qyyd; sjjl"
"to enter"	"kšm; kjm"
"to envy"	"krh"
"to equate"	"siksil"
"to escape"	"njm; rwl"
"to estimate"	"qddr"
"to exagerate"	".عyyq"
"to examine"	"qllb; qllv"
"to exchange"	"mbddal"
"to excuse"	"şamH*"
"to exhaust"	"wHl"
"to exhaust (finish)"	"smur"
"to exhibit"	".عrď"
"to exit"	"ffġ"
"to expand"	"ġrd"
"to expect"	".عawwl; dmu"
"to experience"	"jrrb"
"to explain"	"sfhm; sfru"
"to explode"	"sţġ"
"to exploit"	"sknd"
"to extinguish"	"sxsi"
"to face"	"nal"
"to fail"	"xsr"
"to faint"	"qlb; sxf"
"to fake"	"zwwr"
"to fall"	"ďr; nnqlb; rdl"
"to fall (from a high place)"	"ġli"
